title,category
"이란, 호르무즈 '통행료 카드'…월 최대 8억달러 노린다",World
샛빨갛게 물든 호주 하늘…사이클론 접근에 '핏빛 먼지 폭풍' 발생,World
"美 국방장관, 전쟁 직전 방산 ETF 투자 시도?…이해충돌 논란",World
"미 국무장관 “나토에 매우 실망, 이란 전쟁 끝나면 재검토할 것”",World
"“이란, 후티 반군에 ‘홍해도 막을 준비하라’ 압박”",World
"""트럼프, 측근들에 '호르무즈 봉쇄돼도 대이란 공격 끝낼 의향'""",World
"美, 러시아 유조선 쿠바 입항 허용…에너지 봉쇄 일부 해제",World
3월 31일 뉴스센터[이시각헤드라인],World
"일본, 호위함 개조 이어 육상부대에 '반격능력' 미사일 첫 배치",World
"정상회담 앞둔 中, 美원유 수입 1년 만에 재개 모색",World
트럼프 “이란 폭파·초토화” 경고 뒤 이란 핵시설 폭파 영상 공개 [현장영상],World
“경미한 손상?” 美 조롱 밈 올린 이란 3인자…트럼프와 ‘SNS 전면전’,World
"“나 다음 주 이란 파병 가”…“미군 병사들, 유흥업소서 기밀 술술” 주장 파문 [핫이슈]",World
"러시아, 일본 콕집으며 “가격상한제 시행 국가엔 원유 안팔아”",World
"유가 폭등보다 무서운 중동국 ‘신용 쇼크’… 피치, 카타르에 강등 경고",World
"쿠웨이트 유조선, 두바이 해역서 이란 드론에 피격",World
"“초토화 시킨다” 트럼프, ‘농축우라늄’ 보관 이란 탄약고 폭격 영상 SNS 올렸다",World
트럼프 이어 루비오도 “이란 전쟁 끝나면 나토 재검토…미국 없으면 나토도 없다”,World
"[영상] 이란·헤즈볼라, 하이파 동시 공격…후티엔 '홍해막을 준비하라'",World
"“전쟁 안 끝나, 금 5200만원까지 간다”…부자아빠의 전쟁 대피처 6곳은?",World
"일본, 북한·중국 겨냥한 '반격능력' 1,000㎞ 장거리 미사일 첫 배치",World
미국·이란戰 종전 시나리오? 트럼프·김정은 회담에 답 있다,World
"""트럼프한테 박수를?""…이란서 메시 유니폼 불태우는 아이들",World
"[자막뉴스] ""유가 200달러 넘을 수도"" 이집트의 호소...설상가상 법안 통과",World
"미, 아랍에 전쟁 청구서 보낼까…""트럼프 관심""",World
"백악관 ""걸프전 때도 아랍국가들이 비용 분담""...당시 어땠나? [앵커리포트]",World
“필터 아니다” 호주 뒤덮은 으스스한 ‘핏빛 하늘’의 정체[영상],World
"WSJ “트럼프, 참모들에 호르무즈 해협 안 열려도 작전 종료 의향 있다 말해”",World
"日, 육상부대 2곳에 '반격능력' 미사일 첫 배치…""억지력 강화""(종합)",World
"WSJ “트럼프, 측근에 ‘호르무즈 봉쇄된 채여도 대이란 공격 끝낼 의향’”",World
"“美, 이란 지상전서 마두로 생포 당시 쓴 최첨단 음파무기 활용할 수도”",World
협상은 '연막'...4월 6일은 작전개시일?,World
"“트럼프, 측근들에 ‘호르무즈 봉쇄돼도 종전 용의 있다’ 밝혀”",World
"""트럼프, 호르무즈 봉쇄 지속돼도 이란 군사작전 종료 의향""",World
미 공수부대 수천 명 중동 도착…이란은 유조선 또 공격,World
"이스라엘, 표적사살에 AI기술 적극활용…""방대한 수집정보 종합""",World
왜 하필 지금…아르테미스 2호 발사 앞두고 태양서 대규모 폭발,World
‘통행세’ 걷겠다는 이란…“그래도 대이란 제재 동참국가는 통과금지”,World
"‘모사드의 치밀한 수뇌부 제거전략’…이스라엘, AI 활용해 250명 제거",World
"파키스탄, 美-이란 중재 성사 안간힘…이란전 장기화시 유탄 우려",World
“샤워기 계속 틀지 마세요”…기름값 폭증에 떠는 日온천들,World
[영상] 튀르키예서 이란 미사일 또 요격…중동 전쟁 개시 후 4번째,World
"""트럼프, 호르무즈 봉쇄 계속돼도 이란 공격 끝낼 의향""",World
"“이란 새 지도부, 암살 우려에 은둔…美와 평화협상 난항”",World
트럼프 긁는 '50만 팔로워' 이란 의장…'하늘의 눈' 조롱 밈,World
"젤렌스키, 흑해 뚫은 경험으로 ""호르무즈 개방 지원""",World
"""트럼프, 호르무즈 재개방 없이 군사작전 종료 검토""",World
"일본, 호위함 개조 이어 육상부대에 '반격능력' 미사일 첫 배치",World
"네타냐후 ""전쟁 목표는 이란 핵 야욕 저지…절반 이상 달성""",World
트럼프 초강수 '담수화 공격'...알고 보니 이란엔 안 통한다? [Y녹취록],World
"금 13%·은 24% 급락…""중동전 발발 첫 달 낙폭 기준 최악""",World
"이란 외무 ""형제 국가 사우디 존중…미군 쫓아낼 때 됐다""",World
"""트럼프, 측근들에 '호르무즈 봉쇄돼도 對이란 공격 끝낼 의향'""",World
美 '하늘의 눈' 조롱 밈…트럼프 긁는 '50만 팔로워' 이란 의장,World
"[뉴스특보] 트럼프 '초토화' 엄포…이란, 통행료 징수안 승인",World
"트럼프 ""호르무즈 유조선 20척 통과"" 주장…업계는 의문[미국-이란 전쟁]",World
